1,100,2.497134996652603
1,200,1.3469696342945099
1,300,1.3259281116724013
1,400,1.2475518661737441
2,100,1.1761798173189164
2,200,1.1575009071826934
2,300,1.1449119853973388
2,400,1.218529567718506
3,100,1.078113471865654
3,200,1.0568482995033264
3,300,1.1002154123783112
3,400,1.0900209259986877
4,100,0.9047948372364044
4,200,0.9625523519515992
4,300,0.9815949876606465
4,400,0.9633816638588906
5,100,0.7436858657002449
5,200,0.7973481658101081
5,300,0.8101591926813125
5,400,0.8193254470825195
